atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,sellrNm,repImgUrl,repImgTpCd,repImgThumb
2426690834,1135010500,미도,R0,A01,A01,아파트,A1,매매,MOBL,6/15,79000,0,"7억 9,000",115,87.57,남향,24.05.31.,37.645449,127.060804,"특올수리,전망좋은집,입주가능,교통편리해요","['25년이상', '올수리', '역세권', '방세개']",101동,0,1,0,bizmk,매경부동산,1,미도OK공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,,,,,
2426609445,1135010500,상계주공16단지,R0,A01,A01,아파트,A1,매매,MOBL,13/15,55000,0,"5억 5,000",82,59.39,남향,24.05.31.,37.670505,127.052769,"직거래. 7호선마들역 강남접근성좋음,4호선노원역 시내접근성좋음","['25년이상', '대단지', '방두개', '화장실한개']",1617동,0,2,1,toad,피터팬의 좋은방구하기,2,-,Y,0,0,0,,0,False,"{'cpId': 'toad', 'mobileArticleUrl': 'https://www.peterpanz.com/rd/rd.php?UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,26A01A1Nd263be9f744b66bacb13dbf3cd34d53dd52d8b3e6ff7965a4bfd68776e86e34b,"5억 5,000","5억 5,000",김미순,,,
2426816331,1135010500,두산,R0,A01,A01,아파트,A1,매매,OWNER,14/15,45000,0,"4억 5,000",71,51.66,동향,24.06.01.,37.677898,127.053253,T 02 951 7272 수락산 파노라마 뷰 속이 뻥 뚫립니다,"['25년이상', '역세권', '방두개']",101동,0,3,0,R114,부동산114,3,우성공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'R114', 'mobileArticleUrl': 'https://m.r114.com/?_c=redirect&_m=ArticleFromNbp&UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,27A01A1N5841d929b69fd80f3ab2e1b40b3d01aea6867fe8d78308285660cfe5133a0244,"4억 5,000","4억 5,000",,/20240601_205/land_naver_1717191301585NARki_JPEG/cdc8ba13-b30f-4642-9c86-e7ab5c453964.jpg,10,f130_98
2426578971,1135010500,은빛2단지,R0,A01,A01,아파트,A1,매매,MOBL,1/15,47000,0,"4억 7,000",81,59.95,남향,24.05.31.,37.67966,127.053968,수리깨끗 초역세권 빠른입주,"['25년이상', '역세권', '대단지', '1층']",202동,0,3,0,asil,아실,3,학여울뉴스공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'asil', 'mobileArticleUrl': 'https://asil.kr/app/sale_info.jsp?UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,27A01A1N5de2f93116218d4239d75e34221952799efea479a329d3c1b699995812ceb355,"4억 7,000","4억 7,000",,,,
2426540476,1135010500,미도,R0,A01,A01,아파트,A1,매매,MOBL,8/15,79000,0,"7억 9,000",115,87.57,남서향,24.05.30.,37.645449,127.060804,전체완벽올수리정상 하시급매가,"['25년이상', '올수리', '역세권', '급매']",101동,0,1,0,bizmk,매경부동산,1,미도공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,,,,,
2426816396,1135010500,두산,R0,A01,A01,아파트,A1,매매,OWNER,15/15,36000,0,"3억 6,000",59,41.85,남서향,24.06.01.,37.677526,127.054052,T 02 951 7272 역세권 복덩이 구슬이 서말이어도 궤어야 보배,"['25년이상', '역세권', '소형평수']",111동,0,6,0,SERVE,부동산써브,3,우성공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,26A01A1N3404d3c76719fe2e897eec432f39f8bbf184e37e7b40e9a04c7b0c65e75ca443,"3억 6,000","3억 6,000",,/20240601_18/land_naver_1717191724624j30to_JPEG/Resized_20240519_195948_1716173447229.jpeg,10,f130_98
2426778971,1135010500,보람,R0,A01,A01,아파트,A1,매매,OWNER,15/15,50000,0,5억,77,54.59,남향,24.05.31.,37.66261,127.063773,보람23 수리깨끗 입주협의 로얄동 재건축추진중아파트,"['25년이상', '대단지', '탑층', '방두개']",107동,0,2,0,NEONET,부동산뱅크,2,서울 공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'NEONET', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,27A01A1N50829281519f2251c3d3439a90e726a7085e34d9058104d5f2223822b95a0e97,5억,5억,,,,
2426800038,1135010500,상계주공9단지,R0,A01,A01,아파트,A1,매매,OWNER,15/15,50000,0,5억,70,49.94,남향,24.05.31.,37.66395,127.058894,"올수리,정상입주,마들역세권,재건축투자추천","['25년이상', '올수리', '역세권', '대단지']",920동,0,2,0,asil,아실,2,경성공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'asil', 'mobileArticleUrl': 'https://asil.kr/app/sale_info.jsp?UID=', 'mobileArticleLinkTypeCode': 'ALL', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': True, 'mobileArticleLinkUseAtCpName': True}",N,,26A01A1N2b5f47fbc79c81b6448ef129322c07b68b0474ce19d6f8d568787c1509cac4c7,5억,5억,,,,
2426805375,1135010500,두산,R0,A01,A01,아파트,A1,매매,OWNER,10/15,50000,0,5억,82,59.97,동향,24.05.31.,37.676915,127.053152,수락산초역세권.전세안고 or 입주가능합니다.,"['25년이상', '역세권', '방세개', '화장실한개']",108동,0,3,0,bizmk,매경부동산,3,두산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,26A01A1N066e7964fa8f5f5f41158791cb7c8997f7e563433a29d6fba703285c1e1d4f2c,5억,5억,,,,
2426778618,1135010500,청암1단지,R0,A01,A01,아파트,A1,매매,OWNER,15/18,70000,0,7억,106,84.8,남동향,24.05.31.,37.665453,127.079277, 주인거주 관리 잘되고 깨끗한 불암산 전망 좋은 집 ,"['25년이내', '방세개', '화장실두개', '고층']",105동,0,2,0,SERVE,부동산써브,2,롯데캐슬공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,27A01A1Nbf9c9ec417baccfa088f253d7087bfc1157a2591810423ec3543a90c695a6aad,"7억 5,000",7억,,,,
